Weight beta Accuracy_on_winning_bids Accuracy_on_nonwinning_bids
1.1 0.2 0.964 0.994
1.1 0.4 0.964 0.994
1.1 0.6 0.97 0.994
1.1 0.8 0.97 0.996
1.2 0.2 0.976 0.992
1.2 0.4 0.976 0.992
1.2 0.6 0.976 0.992
1.2 0.8 0.976 0.992
1.3 0.2 0.976 0.99
1.3 0.4 0.976 0.992
1.3 0.6 0.976 0.99
1.3 0.8 0.978 0.99
1.4 0.2 0.98 0.988
1.4 0.4 0.98 0.988
1.4 0.6 0.982 0.99
1.4 0.8 0.982 0.992
1.5 0.2 0.984 0.982
1.5 0.4 0.986 0.986
1.5 0.6 0.988 0.988
1.5 0.8 0.988 0.99
1.6 0.2 0.988 0.98
1.6 0.4 0.988 0.982
1.6 0.6 0.988 0.982
1.6 0.8 0.988 0.984
1.7 0.2 0.988 0.978
1.7 0.4 0.988 0.982
1.7 0.6 0.988 0.982
1.7 0.8 0.988 0.982
1.8 0.2 0.988 0.974
1.8 0.4 0.988 0.982
1.8 0.6 0.988 0.982
1.8 0.8 0.988 0.982
1.9 0.2 0.99 0.97
1.9 0.4 0.99 0.976
1.9 0.6 0.988 0.978
1.9 0.8 0.99 0.98
