Weight beta Accuracy_on_winning_bids Accuracy_on_nonwinning_bids
1.1 0.2 0.772073921971 0.968810916179
1.1 0.4 0.774127310062 0.966861598441
1.1 0.6 0.776180698152 0.966861598441
1.1 0.8 0.778234086242 0.966861598441
1.2 0.2 0.839835728953 0.959064327485
1.2 0.4 0.850102669405 0.955165692008
1.2 0.6 0.856262833676 0.957115009747
1.2 0.8 0.770020533881 0.966861598441
1.3 0.2 0.93839835729 0.931773879142
1.3 0.4 0.93839835729 0.931773879142
1.3 0.6 0.93839835729 0.939571150097
1.3 0.8 0.93839835729 0.941520467836
1.4 0.2 0.946611909651 0.923976608187
1.4 0.4 0.948665297741 0.925925925926
1.4 0.6 0.948665297741 0.927875243665
1.4 0.8 0.948665297741 0.927875243665
1.5 0.2 0.948665297741 0.906432748538
1.5 0.4 0.950718685832 0.914230019493
1.5 0.6 0.950718685832 0.92007797271
1.5 0.8 0.950718685832 0.92007797271
1.6 0.2 0.950718685832 0.906432748538
1.6 0.4 0.950718685832 0.906432748538
1.6 0.6 0.950718685832 0.906432748538
1.6 0.8 0.950718685832 0.906432748538
1.7 0.2 0.952772073922 0.904483430799
1.7 0.4 0.952772073922 0.906432748538
1.7 0.6 0.952772073922 0.904483430799
1.7 0.8 0.952772073922 0.904483430799
1.8 0.2 0.952772073922 0.904483430799
1.8 0.4 0.956878850103 0.904483430799
1.8 0.6 0.956878850103 0.904483430799
1.8 0.8 0.956878850103 0.904483430799
1.9 0.2 0.956878850103 0.90253411306
1.9 0.4 0.956878850103 0.900584795322
1.9 0.6 0.958932238193 0.900584795322
1.9 0.8 0.958932238193 0.900584795322
