Weight beta Accuracy_on_winning_bids Accuracy_on_nonwinning_bids
0.3 0.05 0.916 0.95
0.3 0.1 0.898 0.952
0.3 0.15 0.9 0.954
0.3 0.2 0.898 0.954
0.3 0.25 0.898 0.954
0.3 0.3 0.892 0.954
0.3 0.35 0.892 0.954
0.3 0.4 0.892 0.958
0.3 0.45 0.89 0.954
0.3 0.5 0.892 0.954
0.3 0.55 0.894 0.954
0.3 0.6 0.894 0.954
0.3 0.65 0.892 0.954
0.3 0.7 0.89 0.954
0.3 0.75 0.89 0.954
0.3 0.8 0.89 0.954
0.3 0.85 0.89 0.954
0.3 0.9 0.89 0.956
0.3 0.95 0.89 0.954
0.5 0.05 0.934 0.916
0.5 0.1 0.934 0.916
0.5 0.15 0.934 0.918
0.5 0.2 0.934 0.924
0.5 0.25 0.934 0.924
0.5 0.3 0.934 0.924
0.5 0.35 0.934 0.924
0.5 0.4 0.934 0.924
0.5 0.45 0.934 0.924
0.5 0.5 0.934 0.924
0.5 0.55 0.934 0.926
0.5 0.6 0.934 0.926
0.5 0.65 0.934 0.926
0.5 0.7 0.934 0.926
0.5 0.75 0.934 0.926
0.5 0.8 0.934 0.926
0.5 0.85 0.934 0.92
0.5 0.9 0.934 0.926
0.5 0.95 0.934 0.926
0.7 0.05 0.938 0.912
0.7 0.1 0.938 0.912
0.7 0.15 0.938 0.912
0.7 0.2 0.938 0.914
0.7 0.25 0.936 0.914
0.7 0.3 0.938 0.914
0.7 0.35 0.938 0.914
0.7 0.4 0.938 0.914
0.7 0.45 0.938 0.914
0.7 0.5 0.938 0.914
0.7 0.55 0.938 0.914
0.7 0.6 0.938 0.914
0.7 0.65 0.938 0.914
0.7 0.7 0.938 0.914
0.7 0.75 0.938 0.914
0.7 0.8 0.936 0.914
0.7 0.85 0.938 0.914
0.7 0.9 0.938 0.914
0.7 0.95 0.938 0.914
0.9 0.05 0.94 0.908
0.9 0.1 0.938 0.908
0.9 0.15 0.938 0.91
0.9 0.2 0.938 0.906
0.9 0.25 0.94 0.908
0.9 0.3 0.938 0.908
0.9 0.35 0.94 0.908
0.9 0.4 0.94 0.908
0.9 0.45 0.94 0.908
0.9 0.5 0.94 0.908
0.9 0.55 0.94 0.908
0.9 0.6 0.94 0.908
0.9 0.65 0.944 0.904
0.9 0.7 0.938 0.908
0.9 0.75 0.942 0.908
0.9 0.8 0.938 0.908
0.9 0.85 0.938 0.908
0.9 0.9 0.938 0.908
0.9 0.95 0.938 0.908
1.1 0.05 0.952 0.89
1.1 0.1 0.952 0.904
1.1 0.15 0.954 0.9
1.1 0.2 0.952 0.9
1.1 0.25 0.952 0.898
1.1 0.3 0.952 0.898
1.1 0.35 0.952 0.898
1.1 0.4 0.952 0.898
1.1 0.45 0.952 0.9
1.1 0.5 0.952 0.898
1.1 0.55 0.952 0.898
1.1 0.6 0.952 0.9
1.1 0.65 0.95 0.902
1.1 0.7 0.95 0.902
1.1 0.75 0.95 0.902
1.1 0.8 0.95 0.902
1.1 0.85 0.952 0.902
1.1 0.9 0.954 0.902
1.1 0.95 0.956 0.902
1.3 0.05 0.976 0.866
1.3 0.1 0.968 0.88
1.3 0.15 0.966 0.882
1.3 0.2 0.966 0.886
1.3 0.25 0.964 0.886
1.3 0.3 0.962 0.886
1.3 0.35 0.962 0.886
1.3 0.4 0.962 0.888
1.3 0.45 0.962 0.888
1.3 0.5 0.962 0.888
1.3 0.55 0.968 0.876
1.3 0.6 0.964 0.884
1.3 0.65 0.964 0.882
1.3 0.7 0.966 0.882
1.3 0.75 0.966 0.882
1.3 0.8 0.966 0.882
1.3 0.85 0.966 0.886
1.3 0.9 0.97 0.886
1.3 0.95 0.97 0.886
1.5 0.05 0.978 0.854
1.5 0.1 0.976 0.862
1.5 0.15 0.974 0.864
1.5 0.2 0.972 0.87
1.5 0.25 0.97 0.874
1.5 0.3 0.968 0.874
1.5 0.35 0.968 0.876
1.5 0.4 0.968 0.876
1.5 0.45 0.968 0.88
1.5 0.5 0.974 0.87
1.5 0.55 0.974 0.868
1.5 0.6 0.974 0.868
1.5 0.65 0.976 0.868
1.5 0.7 0.976 0.87
1.5 0.75 0.976 0.87
1.5 0.8 0.976 0.87
1.5 0.85 0.972 0.88
1.5 0.9 0.972 0.88
1.5 0.95 0.972 0.884
1.7 0.05 0.978 0.848
1.7 0.1 0.976 0.852
1.7 0.15 0.976 0.854
1.7 0.2 0.976 0.86
1.7 0.25 0.976 0.862
1.7 0.3 0.976 0.866
1.7 0.35 0.974 0.866
1.7 0.4 0.972 0.866
1.7 0.45 0.972 0.868
1.7 0.5 0.978 0.854
1.7 0.55 0.976 0.854
1.7 0.6 0.976 0.854
1.7 0.65 0.976 0.856
1.7 0.7 0.976 0.858
1.7 0.75 0.976 0.866
1.7 0.8 0.976 0.864
1.7 0.85 0.976 0.866
1.7 0.9 0.976 0.866
1.7 0.95 0.976 0.866
1.9 0.05 0.978 0.844
1.9 0.1 0.978 0.848
1.9 0.15 0.976 0.848
1.9 0.2 0.976 0.852
1.9 0.25 0.976 0.852
1.9 0.3 0.976 0.852
1.9 0.35 0.976 0.852
1.9 0.4 0.976 0.852
1.9 0.45 0.978 0.848
1.9 0.5 0.978 0.848
1.9 0.55 0.978 0.848
1.9 0.6 0.978 0.85
1.9 0.65 0.978 0.852
1.9 0.7 0.976 0.854
1.9 0.75 0.976 0.858
1.9 0.8 0.976 0.858
1.9 0.85 0.976 0.858
1.9 0.9 0.978 0.86
1.9 0.95 0.978 0.856
